station_id,datetime,city,station_name,latitude,longitude,pm2_5,pm10,o3,no2,so2,co,pm2_5_aqi,pm10_aqi,o3_aqi,no2_aqi,so2_aqi,co_aqi,overall_aqi,overall_rating,pm2_5_rating,pm10_rating,o3_rating,no2_rating,so2_rating,co_rating
AA002,2024-01-04 01:40:34,addis_ababa,Merkato Station,9.0256,38.7469,26,36,46,24,20,2,80.3,33.3,42.6,22.6,28.6,22.7,80.3,moderate,moderate,good,good,good,good,good
AA003,2024-01-04 09:09:18,addis_ababa,Piazza Station,9.033,38.7501,25,57,44,24,23,2,78.2,52.0,40.7,22.6,32.9,22.7,78.2,moderate,moderate,moderate,good,good,good,good
KA001,2024-01-04 01:53:53,kampala,Central Station,0.3177,32.5825,23,54,46,26,12,1,74.0,50.0,42.6,24.5,17.1,11.4,74.0,moderate,moderate,good,good,good,good,good
KA002,2024-01-04 04:20:13,kampala,Nakawa Station,0.3376,32.6251,37,49,46,27,8,1,104.9,45.4,42.6,25.5,11.4,11.4,104.9,unhealthy_sensitive,unhealthy_sensitive,good,good,good,good,good
KA003,2024-01-04 19:56:37,kampala,Makindye Station,0.2936,32.5851,29,50,32,27,18,2,86.6,46.3,29.6,25.5,25.7,22.7,86.6,moderate,moderate,good,good,good,good,good
NA001,2024-01-04 16:59:19,nairobi,CBD Station,-1.2921,36.8219,25,29,61,35,23,1,78.2,26.9,70.6,33.0,32.9,11.4,78.2,moderate,moderate,good,moderate,good,good,good
NA002,2024-01-04 22:54:15,nairobi,Industrial Area Station,-1.3074,36.8364,22,43,57,24,17,1,71.9,39.8,57.5,22.6,24.3,11.4,71.9,moderate,moderate,good,moderate,good,good,good
NA003,2024-01-04 17:57:50,nairobi,Westlands Station,-1.2659,36.8015,22,30,44,24,16,1,71.9,27.8,40.7,22.6,22.9,11.4,71.9,moderate,moderate,good,good,good,good,good
GA001,2024-01-04 12:26:08,gaborone,Main Mall Station,-24.6589,25.9124,29,52,43,20,23,1,86.6,48.1,39.8,18.9,32.9,11.4,86.6,moderate,moderate,good,good,good,good,good
GA002,2024-01-04 14:55:21,gaborone,Broadhurst Station,-24.6428,25.9082,42,54,44,20,23,1,117.2,50.0,40.7,18.9,32.9,11.4,117.2,unhealthy_sensitive,unhealthy_sensitive,good,good,good,good,good
GA003,2024-01-04 10:46:59,gaborone,Mogoditshane Station,-24.6279,25.8541,34,70,51,21,26,2,97.1,58.4,47.2,19.8,37.1,22.7,97.1,moderate,moderate,moderate,good,good,good,good
KI001,2024-01-04 11:24:16,kigali,City Center Station,-1.9501,30.0588,20,50,37,12,14,1,67.8,46.3,34.3,11.3,20.0,11.4,67.8,moderate,moderate,good,good,good,good,good
KI002,2024-01-04 14:07:39,kigali,Kicukiro Station,-1.9845,30.098,16,44,39,26,20,1,59.4,40.7,36.1,24.5,28.6,11.4,59.4,moderate,moderate,good,good,good,good,good
KI003,2024-01-04 12:05:36,kigali,Gikondo Station,-1.9739,30.0826,26,42,50,12,10,1,80.3,38.9,46.3,11.3,14.3,11.4,80.3,moderate,moderate,good,good,good,good,good
AA001,2024-01-05 10:03:14,addis_ababa,Bole Station,9.0227,38.7465,20,31,48,22,19,2,67.8,28.7,44.4,20.8,27.1,22.7,67.8,moderate,moderate,good,good,good,good,good
AA002,2024-01-05 18:44:43,addis_ababa,Merkato Station,9.0256,38.7469,23,44,52,28,27,3,74.0,40.7,48.1,26.4,38.6,34.1,74.0,moderate,moderate,good,good,good,good,good
AA003,2024-01-05 10:35:12,addis_ababa,Piazza Station,9.033,38.7501,27,36,54,25,18,2,82.4,33.3,50.0,23.6,25.7,22.7,82.4,moderate,moderate,good,good,good,good,good
KA001,2024-01-05 16:08:10,kampala,Central Station,0.3177,32.5825,23,43,43,16,16,1,74.0,39.8,39.8,15.1,22.9,11.4,74.0,moderate,moderate,good,good,good,good,good
KA002,2024-01-05 00:39:21,kampala,Nakawa Station,0.3376,32.6251,37,54,37,26,13,1,104.9,50.0,34.3,24.5,18.6,11.4,104.9,unhealthy_sensitive,unhealthy_sensitive,good,good,good,good,good
KA003,2024-01-05 18:58:13,kampala,Makindye Station,0.2936,32.5851,30,50,41,21,12,2,88.7,46.3,38.0,19.8,17.1,22.7,88.7,moderate,moderate,good,good,good,good,good
NA001,2024-01-05 05:32:22,nairobi,CBD Station,-1.2921,36.8219,20,47,48,35,15,1,67.8,43.5,44.4,33.0,21.4,11.4,67.8,moderate,moderate,good,good,good,good,good
NA002,2024-01-05 02:06:50,nairobi,Industrial Area Station,-1.3074,36.8364,12,48,54,21,11,2,50.0,44.4,50.0,19.8,15.7,22.7,50.0,good,good,good,good,good,good,good
NA003,2024-01-05 05:56:32,nairobi,Westlands Station,-1.2659,36.8015,23,36,53,38,18,1,74.0,33.3,49.1,35.8,25.7,11.4,74.0,moderate,moderate,good,good,good,good,good
GA001,2024-01-05 12:30:46,gaborone,Main Mall Station,-24.6589,25.9124,36,61,59,31,25,2,102.5,54.0,64.1,29.2,35.7,22.7,102.5,unhealthy_sensitive,unhealthy_sensitive,moderate,moderate,good,good,good
GA002,2024-01-05 01:26:30,gaborone,Broadhurst Station,-24.6428,25.9082,37,57,57,25,29,1,104.9,52.0,57.5,23.6,41.4,11.4,104.9,unhealthy_sensitive,unhealthy_sensitive,moderate,moderate,good,good,good
GA003,2024-01-05 05:07:22,gaborone,Mogoditshane Station,-24.6279,25.8541,45,66,64,24,25,2,124.5,56.4,80.4,22.6,35.7,22.7,124.5,unhealthy_sensitive,unhealthy_sensitive,moderate,moderate,good,good,good
KI001,2024-01-05 03:04:55,kigali,City Center Station,-1.9501,30.0588,32,44,61,20,18,1,92.9,40.7,70.6,18.9,25.7,11.4,92.9,moderate,moderate,good,moderate,good,good,good
KI002,2024-01-05 13:35:53,kigali,Kicukiro Station,-1.9845,30.098,32,49,35,15,13,1,92.9,45.4,32.4,14.2,18.6,11.4,92.9,moderate,moderate,good,good,good,good,good
KI003,2024-01-05 09:51:56,kigali,Gikondo Station,-1.9739,30.0826,24,43,49,14,21,1,76.1,39.8,45.4,13.2,30.0,11.4,76.1,moderate,moderate,good,good,good,good,good
AA001,2024-01-06 16:42:58,addis_ababa,Bole Station,9.0227,38.7465,37,41,59,36,30,2,104.9,38.0,64.1,34.0,42.9,22.7,104.9,unhealthy_sensitive,unhealthy_sensitive,good,moderate,good,good,good
AA002,2024-01-06 10:21:25,addis_ababa,Merkato Station,9.0256,38.7469,33,59,45,34,26,3,95.0,53.0,41.7,32.1,37.1,34.1,95.0,moderate,moderate,moderate,good,good,good,good
AA003,2024-01-06 00:31:12,addis_ababa,Piazza Station,9.033,38.7501,26,60,51,30,25,2,80.3,53.5,47.2,28.3,35.7,22.7,80.3,moderate,moderate,moderate,good,good,good,good
KA001,2024-01-06 18:17:00,kampala,Central Station,0.3177,32.5825,24,54,50,15,16,1,76.1,50.0,46.3,14.2,22.9,11.4,76.1,moderate,moderate,good,good,good,good,good
KA002,2024-01-06 00:07:28,kampala,Nakawa Station,0.3376,32.6251,36,27,26,14,11,2,102.5,25.0,24.1,13.2,15.7,22.7,102.5,unhealthy_sensitive,unhealthy_sensitive,good,good,good,good,good
KA003,2024-01-06 02:23:22,kampala,Makindye Station,0.2936,32.5851,21,49,34,20,16,1,69.8,45.4,31.5,18.9,22.9,11.4,69.8,moderate,moderate,good,good,good,good,good
NA001,2024-01-06 23:13:31,nairobi,CBD Station,-1.2921,36.8219,18,32,44,20,14,1,63.6,29.6,40.7,18.9,20.0,11.4,63.6,moderate,moderate,good,good,good,good,good
NA002,2024-01-06 06:09:06,nairobi,Industrial Area Station,-1.3074,36.8364,20,49,43,32,19,1,67.8,45.4,39.8,30.2,27.1,11.4,67.8,moderate,moderate,good,good,good,good,good
NA003,2024-01-06 01:02:22,nairobi,Westlands Station,-1.2659,36.8015,23,45,51,30,12,1,74.0,41.7,47.2,28.3,17.1,11.4,74.0,moderate,moderate,good,good,good,good,good
GA001,2024-01-06 23:58:45,gaborone,Main Mall Station,-24.6589,25.9124,40,53,60,20,23,2,112.3,49.1,67.3,18.9,32.9,22.7,112.3,unhealthy_sensitive,unhealthy_sensitive,good,moderate,good,good,good
GA002,2024-01-06 08:53:21,gaborone,Broadhurst Station,-24.6428,25.9082,31,44,60,20,20,3,90.8,40.7,67.3,18.9,28.6,34.1,90.8,moderate,moderate,good,moderate,good,good,good
GA003,2024-01-06 05:33:16,gaborone,Mogoditshane Station,-24.6279,25.8541,34,62,51,18,25,1,97.1,54.5,47.2,17.0,35.7,11.4,97.1,moderate,moderate,moderate,good,good,good,good
KI001,2024-01-06 01:11:44,kigali,City Center Station,-1.9501,30.0588,23,47,36,14,17,1,74.0,43.5,33.3,13.2,24.3,11.4,74.0,moderate,moderate,good,good,good,good,good
KI002,2024-01-06 18:52:35,kigali,Kicukiro Station,-1.9845,30.098,17,35,36,17,16,1,61.5,32.4,33.3,16.0,22.9,11.4,61.5,moderate,moderate,good,good,good,good,good
KI003,2024-01-06 23:53:21,kigali,Gikondo Station,-1.9739,30.0826,31,45,45,23,15,1,90.8,41.7,41.7,21.7,21.4,11.4,90.8,moderate,moderate,good,good,good,good,good
AA001,2024-01-07 20:08:08,addis_ababa,Bole Station,9.0227,38.7465,19,40,54,21,21,1,65.7,37.0,50.0,19.8,30.0,11.4,65.7,moderate,moderate,good,good,good,good,good
AA002,2024-01-07 16:16:09,addis_ababa,Merkato Station,9.0256,38.7469,30,35,35,31,21,1,88.7,32.4,32.4,29.2,30.0,11.4,88.7,moderate,moderate,good,good,good,good,good
AA003,2024-01-07 07:24:17,addis_ababa,Piazza Station,9.033,38.7501,19,43,51,26,21,3,65.7,39.8,47.2,24.5,30.0,34.1,65.7,moderate,moderate,good,good,good,good,good
KA001,2024-01-07 06:34:17,kampala,Central Station,0.3177,32.5825,30,45,37,16,16,1,88.7,41.7,34.3,15.1,22.9,11.4,88.7,moderate,moderate,good,good,good,good,good
KA002,2024-01-07 10:39:25,kampala,Nakawa Station,0.3376,32.6251,34,57,42,10,17,1,97.1,52.0,38.9,9.4,24.3,11.4,97.1,moderate,moderate,moderate,good,good,good,good
KA003,2024-01-07 15:44:41,kampala,Makindye Station,0.2936,32.5851,28,45,47,20,17,1,84.5,41.7,43.5,18.9,24.3,11.4,84.5,moderate,moderate,good,good,good,good,good
NA001,2024-01-07 15:55:43,nairobi,CBD Station,-1.2921,36.8219,21,36,49,26,16,1,69.8,33.3,45.4,24.5,22.9,11.4,69.8,moderate,moderate,good,good,good,good,good
NA002,2024-01-07 13:55:29,nairobi,Industrial Area Station,-1.3074,36.8364,20,52,60,28,17,1,67.8,48.1,67.3,26.4,24.3,11.4,67.8,moderate,moderate,good,moderate,good,good,good
NA003,2024-01-07 04:36:42,nairobi,Westlands Station,-1.2659,36.8015,25,52,52,28,15,1,78.2,48.1,48.1,26.4,21.4,11.4,78.2,moderate,moderate,good,good,good,good,good
GA001,2024-01-07 21:52:50,gaborone,Main Mall Station,-24.6589,25.9124,37,68,55,22,28,1,104.9,57.4,51.0,20.8,40.0,11.4,104.9,unhealthy_sensitive,unhealthy_sensitive,moderate,moderate,good,good,good
GA002,2024-01-07 04:53:46,gaborone,Broadhurst Station,-24.6428,25.9082,29,51,47,18,21,2,86.6,47.2,43.5,17.0,30.0,22.7,86.6,moderate,moderate,good,good,good,good,good
GA003,2024-01-07 16:23:02,gaborone,Mogoditshane Station,-24.6279,25.8541,43,56,38,20,16,4,119.6,51.5,35.2,18.9,22.9,45.5,119.6,unhealthy_sensitive,unhealthy_sensitive,moderate,good,good,good,good
KI001,2024-01-07 08:02:24,kigali,City Center Station,-1.9501,30.0588,25,30,46,23,12,1,78.2,27.8,42.6,21.7,17.1,11.4,78.2,moderate,moderate,good,good,good,good,good
KI002,2024-01-07 05:07:58,kigali,Kicukiro Station,-1.9845,30.098,27,46,42,18,13,1,82.4,42.6,38.9,17.0,18.6,11.4,82.4,moderate,moderate,good,good,good,good,good
KI003,2024-01-07 18:57:02,kigali,Gikondo Station,-1.9739,30.0826,23,46,45,13,5,1,74.0,42.6,41.7,12.3,7.1,11.4,74.0,moderate,moderate,good,good,good,good,good
AA001,2024-01-08 15:40:12,addis_ababa,Bole Station,9.0227,38.7465,18,52,49,28,24,2,63.6,48.1,45.4,26.4,34.3,22.7,63.6,moderate,moderate,good,good,good,good,good
AA002,2024-01-08 10:52:29,addis_ababa,Merkato Station,9.0256,38.7469,33,59,58,30,21,2,95.0,53.0,60.8,28.3,30.0,22.7,95.0,moderate,moderate,moderate,moderate,good,good,good
AA003,2024-01-08 23:44:34,addis_ababa,Piazza Station,9.033,38.7501,24,57,54,20,21,1,76.1,52.0,50.0,18.9,30.0,11.4,76.1,moderate,moderate,moderate,good,good,good,good
KA001,2024-01-08 21:03:19,kampala,Central Station,0.3177,32.5825,29,47,37,24,16,1,86.6,43.5,34.3,22.6,22.9,11.4,86.6,moderate,moderate,good,good,good,good,good
KA002,2024-01-08 23:58:17,kampala,Nakawa Station,0.3376,32.6251,31,50,41,22,10,2,90.8,46.3,38.0,20.8,14.3,22.7,90.8,moderate,moderate,good,good,good,good,good
KA003,2024-01-08 13:33:28,kampala,Makindye Station,0.2936,32.5851,30,58,54,22,15,3,88.7,52.5,50.0,20.8,21.4,34.1,88.7,moderate,moderate,moderate,good,good,good,good
NA001,2024-01-08 19:21:10,nairobi,CBD Station,-1.2921,36.8219,21,47,44,32,18,1,69.8,43.5,40.7,30.2,25.7,11.4,69.8,moderate,moderate,good,good,good,good,good
NA002,2024-01-08 02:58:00,nairobi,Industrial Area Station,-1.3074,36.8364,25,38,60,25,13,1,78.2,35.2,67.3,23.6,18.6,11.4,78.2,moderate,moderate,good,moderate,good,good,good
NA003,2024-01-08 11:15:26,nairobi,Westlands Station,-1.2659,36.8015,26,47,52,28,19,2,80.3,43.5,48.1,26.4,27.1,22.7,80.3,moderate,moderate,good,good,good,good,good
GA001,2024-01-08 11:52:23,gaborone,Main Mall Station,-24.6589,25.9124,35,62,57,23,26,3,99.2,54.5,57.5,21.7,37.1,34.1,99.2,moderate,moderate,moderate,moderate,good,good,good
GA002,2024-01-08 03:08:37,gaborone,Broadhurst Station,-24.6428,25.9082,45,71,55,24,29,1,124.5,58.9,51.0,22.6,41.4,11.4,124.5,unhealthy_sensitive,unhealthy_sensitive,moderate,moderate,good,good,good
GA003,2024-01-08 16:07:20,gaborone,Mogoditshane Station,-24.6279,25.8541,36,51,59,14,25,1,102.5,47.2,64.1,13.2,35.7,11.4,102.5,unhealthy_sensitive,unhealthy_sensitive,good,moderate,good,good,good
KI001,2024-01-08 07:10:21,kigali,City Center Station,-1.9501,30.0588,40,44,48,13,17,1,112.3,40.7,44.4,12.3,24.3,11.4,112.3,unhealthy_sensitive,unhealthy_sensitive,good,good,good,good,good
KI002,2024-01-08 17:59:32,kigali,Kicukiro Station,-1.9845,30.098,28,52,37,19,21,1,84.5,48.1,34.3,17.9,30.0,11.4,84.5,moderate,moderate,good,good,good,good,good
KI003,2024-01-08 17:14:33,kigali,Gikondo Station,-1.9739,30.0826,28,44,37,17,22,1,84.5,40.7,34.3,16.0,31.4,11.4,84.5,moderate,moderate,good,good,good,good,good
AA001,2024-01-09 07:49:27,addis_ababa,Bole Station,9.0227,38.7465,28,55,57,33,22,2,84.5,51.0,57.5,31.1,31.4,22.7,84.5,moderate,moderate,moderate,moderate,good,good,good
AA002,2024-01-09 08:59:41,addis_ababa,Merkato Station,9.0256,38.7469,32,45,57,28,28,1,92.9,41.7,57.5,26.4,40.0,11.4,92.9,moderate,moderate,good,moderate,good,good,good
AA003,2024-01-09 13:35:44,addis_ababa,Piazza Station,9.033,38.7501,29,59,44,34,15,2,86.6,53.0,40.7,32.1,21.4,22.7,86.6,moderate,moderate,moderate,good,good,good,good
KA001,2024-01-09 09:50:34,kampala,Central Station,0.3177,32.5825,33,72,54,23,16,2,95.0,59.4,50.0,21.7,22.9,22.7,95.0,moderate,moderate,moderate,good,good,good,good
KA002,2024-01-09 23:19:36,kampala,Nakawa Station,0.3376,32.6251,22,46,37,21,14,2,71.9,42.6,34.3,19.8,20.0,22.7,71.9,moderate,moderate,good,good,good,good,good
KA003,2024-01-09 18:57:53,kampala,Makindye Station,0.2936,32.5851,22,66,39,27,10,1,71.9,56.4,36.1,25.5,14.3,11.4,71.9,moderate,moderate,moderate,good,good,good,good
NA001,2024-01-09 09:43:13,nairobi,CBD Station,-1.2921,36.8219,28,39,55,27,23,1,84.5,36.1,51.0,25.5,32.9,11.4,84.5,moderate,moderate,good,moderate,good,good,good
NA002,2024-01-09 23:38:24,nairobi,Industrial Area Station,-1.3074,36.8364,26,43,47,34,20,1,80.3,39.8,43.5,32.1,28.6,11.4,80.3,moderate,moderate,good,good,good,good,good
NA003,2024-01-09 03:44:22,nairobi,Westlands Station,-1.2659,36.8015,25,37,48,25,24,2,78.2,34.3,44.4,23.6,34.3,22.7,78.2,moderate,moderate,good,good,good,good,good
GA001,2024-01-09 00:56:53,gaborone,Main Mall Station,-24.6589,25.9124,24,61,52,26,26,1,76.1,54.0,48.1,24.5,37.1,11.4,76.1,moderate,moderate,moderate,good,good,good,good
GA002,2024-01-09 11:58:19,gaborone,Broadhurst Station,-24.6428,25.9082,32,75,56,23,27,2,92.9,60.9,54.3,21.7,38.6,22.7,92.9,moderate,moderate,moderate,moderate,good,good,good
GA003,2024-01-09 16:50:13,gaborone,Mogoditshane Station,-24.6279,25.8541,35,54,54,17,24,2,99.2,50.0,50.0,16.0,34.3,22.7,99.2,moderate,moderate,good,good,good,good,good
KI001,2024-01-09 22:43:37,kigali,City Center Station,-1.9501,30.0588,38,47,43,20,16,1,107.4,43.5,39.8,18.9,22.9,11.4,107.4,unhealthy_sensitive,unhealthy_sensitive,good,good,good,good,good
KI002,2024-01-09 21:46:33,kigali,Kicukiro Station,-1.9845,30.098,22,51,42,14,18,1,71.9,47.2,38.9,13.2,25.7,11.4,71.9,moderate,moderate,good,good,good,good,good
KI003,2024-01-09 13:03:32,kigali,Gikondo Station,-1.9739,30.0826,29,53,46,20,16,1,86.6,49.1,42.6,18.9,22.9,11.4,86.6,moderate,moderate,good,good,good,good,good
